iteracion,a,b,c,f(c),error_x,decision
157,200.8195386777756,1100.0,200.84228740928435,-0.8851132204079022,0.022748731508755782,CONTINUAR
158,200.84228740928435,1100.0,200.86428522309635,-0.855913721808065,0.021997813811992728,CONTINUAR
159,200.86428522309635,1100.0,200.88555683538505,-0.8276741834255006,0.021271612288700226,CONTINUAR
160,200.88555683538505,1100.0,200.90612615341973,-0.8003632614448009,0.020569318034688422,CONTINUAR
161,200.90612615341973,1100.0,200.92601630173843,-0.7739506214207381,0.0198901483186944,CONTINUAR
162,200.92601630173843,1100.0,200.94524964749348,-0.7484069066900929,0.019233345755054643,CONTINUAR
163,200.94524964749348,1100.0,200.96384782499504,-0.7237037077119339,0.01859817750155912,CONTINUAR
164,200.96384782499504,1100.0,200.9818317594761,-0.6998135323125894,0.017983934481065944,CONTINUAR
165,200.9818317594761,1100.0,200.999221690103,-0.6767097768127996,0.01738993062690497,CONTINUAR
166,200.999221690103,1100.0,201.01603719225432,-0.6543666980142007,0.016815502151303008,CONTINUAR
167,201.01603719225432,1100.0,201.03229719909007,-0.632759386023082,0.016260006835750573,CONTINUAR
168,201.03229719909007,1100.0,201.04802002243338,-0.6118637378891094,0.01572282334331021,CONTINUAR
169,201.04802002243338,1100.0,201.06322337298545,-0.5916564320379507,0.01520335055207056,CONTINUAR
170,201.06322337298545,1100.0,201.0779243798941,-0.5721149034762334,0.014701006908666159,CONTINUAR
171,201.0779243798941,1100.0,201.0921396096962,-0.5532173197480574,0.014215229802090334,CONTINUAR
172,201.0921396096962,1100.0,201.1058850846531,-0.5349425576228555,0.013745474956891712,CONTINUAR
173,201.1058850846531,1100.0,201.11917630049777,-0.5172701804941084,0.013291215844674298,CONTINUAR
174,201.11917630049777,1100.0,201.13202824361213,-0.5001804164701298,0.01285194311435589,CONTINUAR
175,201.13202824361213,1100.0,201.14445540765217,-0.48365413713617045,0.012427164040047955,CONTINUAR
176,201.14445540765217,1100.0,201.15647180963813,-0.467672836971019,0.012016401985960101,CONTINUAR
177,201.15647180963813,1100.0,201.1680910055262,-0.45221861339763336,0.011619195888073364,CONTINUAR
178,201.1680910055262,1100.0,201.1793261052786,-0.437274147451177,0.011235099752383348,CONTINUAR
179,201.1793261052786,1100.0,201.1901897874468,-0.4228226850465262,0.010863682168206878,CONTINUAR
180,201.1901897874468,1100.0,201.20069431328426,-0.4088480188275412,0.010504525837461642,CONTINUAR
181,201.20069431328426,1100.0,201.2108515404027,-0.39533447058164484,0.010157227118440915,CONTINUAR
182,201.2108515404027,1100.0,201.2206729359866,-0.38226687420342387,0.009821395583912818,CUMPLE TOL_X
183,201.2206729359866,1100.0,201.2301695895799,-0.36963055919127896,0.009496653593288329,CUMPLE TOL_X
184,201.2301695895799,1100.0,201.23935222545848,-0.35741133466063957,0.00918263587857382,CUMPLE TOL_X
185,201.23935222545848,1100.0,201.2482312146013,-0.34559547385987344,0.008878989142829141,CUMPLE TOL_X
186,201.2482312146013,1100.0,201.2568165862733,-0.33416969917266215,0.008585371671983921,CUMPLE TOL_X
187,201.2568165862733,1100.0,201.26511803923205,-0.32312116759365495,0.008301452958761502,CUMPLE TOL_X
188,201.26511803923205,1100.0,201.27314495257028,-0.3124374566622805,0.00802691333822736,CUMPLE TOL_X
189,201.27314495257028,1100.0,201.28090639620618,-0.3021065508412164,0.007761443635899923,CUMPLE TOL_X
190,201.28090639620618,1100.0,201.28841114103207,-0.29211682832669794,0.0075047448258942495,CUMPLE TOL_X
191,201.28841114103207,1100.0,201.295667668733,-0.2824570482768536,0.007256527700917559,CUMPLE TOL_X
192,201.295667668733,1100.0,201.30268418128537,-0.2731163384459592,0.007016512552382892,CUMPLE TOL_X
193,201.30268418128537,1100.0,201.30946861014627,-0.26408418321210547,0.006784428860896696,CUMPLE TOL_X
194,201.30946861014627,1100.0,201.31602862514285,-0.25535041198617137,0.006560014996580321,CUMPLE TOL_X
195,201.31602862514285,1100.0,201.3223716430721,-0.2469051879905919,0.006343017929253847,CUMPLE TOL_X
196,201.3223716430721,1100.0,201.32850483601965,-0.23873899739663784,0.00613319294754433,CUMPLE TOL_X
197,201.32850483601965,1100.0,201.33443513940705,-0.23084263880892308,0.005930303387401636,CUMPLE TOL_X
198,201.33443513940705,1100.0,201.3401692597763,-0.22320721308670954,0.0057341203692544696,CUMPLE TOL_X
199,201.3401692597763,1100.0,201.3457136823198,-0.21582411349137942,0.005544422543493965,CUMPLE TOL_X
200,201.3457136823198,1100.0,201.3510746781639,-0.20868501615041168,0.0053609958441143135,CUMPLE TOL_X
201,201.3510746781639,1100.0,201.3562583114147,-0.20178187082731824,0.005183633250794628,CUMPLE TOL_X
202,201.3562583114147,1100.0,201.3612704459729,-0.1951068919884733,0.005012134558199932,CUMPLE TOL_X
203,201.3612704459729,1100.0,201.36611675212572,-0.18865255015759885,0.004846306152813895,CUMPLE TOL_X
204,201.36611675212572,1100.0,201.37080271292274,-0.18241156354903865,0.004685960797019106,CUMPLE TOL_X
205,201.37080271292274,1100.0,201.3753336303432,-0.17637688997041323,0.0045309174204533065,CUMPLE TOL_X
206,201.3753336303432,1100.0,201.3797146312608,-0.17054171898701043,0.004381000917618394,CUMPLE TOL_X
207,201.3797146312608,1100.0,201.38395067321343,-0.16489946433887326,0.004236041952623282,CUMPLE TOL_X
208,201.38395067321343,1100.0,201.38804654998307,-0.15944375660387777,0.004095876769639517,CUMPLE TOL_X
209,201.38804654998307,1100.0,201.39200689699325,-0.15416843609745,0.003960347010178111,CUMPLE TOL_X
