metodo,inicio,iteracion,z_anterior,z_actual,a,b,c,f_z,f_c,error,decision
Newton-Raphson,0.0,3,1.0400359553898821,1.2762222813768178,,,,-0.048193960976429695,,0.23618632598693567,Newton amortiguado
Newton-Raphson,0.0,4,1.2762222813768178,1.4174828268363602,,,,-0.02505650025085404,,0.14126054545954236,Newton amortiguado
Newton-Raphson,0.0,5,1.4174828268363602,1.4972757894322035,,,,-0.012832181711656787,,0.07979296259584334,Newton amortiguado
Newton-Raphson,0.0,6,1.4972757894322035,1.5402201962819644,,,,-0.006503266999663748,,0.04294440684976086,Newton amortiguado
Newton-Raphson,0.0,7,1.5402201962819644,1.5625912767646448,,,,-0.003275130064406606,,0.02237108048268044,Newton amortiguado
Newton-Raphson,0.0,8,1.5625912767646448,1.574022726736085,,,,-0.001643676179182929,,0.011431449971440077,Newton amortiguado
Newton-Raphson,0.0,9,1.574022726736085,1.5798029054460583,,,,-0.0008233972286024738,,0.005780178709973383,Newton amortiguado
Newton-Raphson,0.0,10,1.5798029054460583,1.5827095037227987,,,,-0.00041209243377748894,,0.0029065982767404464,Newton amortiguado
Newton-Raphson,0.0,11,1.5827095037227987,1.5841669811022,,,,-0.00020614518359174383,,0.001457477379401162,Newton amortiguado
Newton-Raphson,0.0,12,1.5841669811022,1.5848967708305353,,,,-0.00010309739792779826,,0.0007297897283353727,Newton amortiguado
Newton-Raphson,0.0,13,1.5848967708305353,1.5852619292706565,,,,-5.155490858388401e-05,,0.0003651584401211938,Newton amortiguado
Newton-Raphson,0.0,14,1.5852619292706565,1.5854445744871517,,,,-2.57790077097253e-05,,0.00018264521649524745,Newton amortiguado
Newton-Raphson,0.0,15,1.5854445744871517,1.5855359136073397,,,,-1.2889892335943287e-05,,9.133912018799428e-05,Newton amortiguado
Newton-Raphson,0.0,16,1.5855359136073397,1.585581587297024,,,,-6.4450433041596256e-06,,4.5673689684333496e-05,Newton amortiguado
Newton-Raphson,0.0,17,1.585581587297024,1.5856044251744648,,,,-3.222545938097454e-06,,2.283787744072896e-05,Newton amortiguado
Newton-Raphson,0.0,18,1.5856044251744648,1.58561584437136,,,,-1.611279040969471e-06,,1.141919689517934e-05,Newton amortiguado
Newton-Raphson,0.0,19,1.58561584437136,1.585621554034355,,,,-8.056410383261436e-07,,5.709662995068143e-06,Newton amortiguado
Newton-Raphson,8.0,1,,,1.5,1.6000000000000014,1.5500000000000007,,-0.005086268164039676,0.05000000000000071,Bisección
Newton-Raphson,8.0,2,,,1.5500000000000007,1.6000000000000014,1.575000000000001,,-0.0015047699754006105,0.025000000000000355,Bisección
Newton-Raphson,8.0,3,,,1.575000000000001,1.6000000000000014,1.5875000000000012,,0.00026407980694798106,0.012500000000000178,Bisección
Newton-Raphson,8.0,4,,,1.575000000000001,1.5875000000000012,1.5812500000000012,,-0.0006185243828048526,0.006250000000000089,Bisección
Newton-Raphson,8.0,5,,,1.5812500000000012,1.5875000000000012,1.5843750000000012,,-0.00017676743928773941,0.0031250000000000444,Bisección
Newton-Raphson,8.0,6,,,1.5843750000000012,1.5875000000000012,1.5859375000000013,,4.376985481269191e-05,0.0015625000000000222,Bisección
Newton-Raphson,8.0,7,,,1.5843750000000012,1.5859375000000013,1.5851562500000012,,-6.647036932971861e-05,0.0007812500000000666,Bisección
Newton-Raphson,8.0,8,,,1.5851562500000012,1.5859375000000013,1.5855468750000012,,-1.134315217588e-05,0.0003906250000000888,Bisección
Newton-Raphson,8.0,9,,,1.5855468750000012,1.5859375000000013,1.5857421875000013,,1.6215127508378835e-05,0.0001953125000000444,Bisección
Newton-Raphson,8.0,10,,,1.5855468750000012,1.5857421875000013,1.5856445312500012,,2.436431723817911e-06,9.76562500000222e-05,Bisección
Newton-Raphson,8.0,11,,,1.5855468750000012,1.5856445312500012,1.5855957031250012,,-4.45324921038992e-06,4.882812499995559e-05,Bisección
Newton-Raphson,8.0,12,,,1.5855957031250012,1.5856445312500012,1.585620117187501,,-1.008380989597768e-06,2.4414062499977796e-05,Bisección
Newton-Raphson,8.0,13,,,1.585620117187501,1.5856445312500012,1.585632324218751,,7.140323055043751e-07,1.2207031250044409e-05,Bisección
Punto fijo,-8.0,1,,,1.5,1.6000000000000014,1.5500000000000007,,-0.005086268164039676,0.05000000000000071,Bisección
Punto fijo,-8.0,2,,,1.5500000000000007,1.6000000000000014,1.575000000000001,,-0.0015047699754006105,0.025000000000000355,Bisección
Punto fijo,-8.0,3,,,1.575000000000001,1.6000000000000014,1.5875000000000012,,0.00026407980694798106,0.012500000000000178,Bisección
Punto fijo,-8.0,4,,,1.575000000000001,1.5875000000000012,1.5812500000000012,,-0.0006185243828048526,0.006250000000000089,Bisección
Punto fijo,-8.0,5,,,1.5812500000000012,1.5875000000000012,1.5843750000000012,,-0.00017676743928773941,0.0031250000000000444,Bisección
Punto fijo,-8.0,6,,,1.5843750000000012,1.5875000000000012,1.5859375000000013,,4.376985481269191e-05,0.0015625000000000222,Bisección
Punto fijo,-8.0,7,,,1.5843750000000012,1.5859375000000013,1.5851562500000012,,-6.647036932971861e-05,0.0007812500000000666,Bisección
Punto fijo,-8.0,8,,,1.5851562500000012,1.5859375000000013,1.5855468750000012,,-1.134315217588e-05,0.0003906250000000888,Bisección
